State,Year,Quarter,Device_Brand,User_Count,Registered_users,App_opens
andaman-&-nicobar-islands,2018,1,Xiaomi,1665,6740,0
andaman-&-nicobar-islands,2018,1,Samsung,1445,6740,0
andaman-&-nicobar-islands,2018,1,Vivo,982,6740,0
andaman-&-nicobar-islands,2018,1,Oppo,501,6740,0
andaman-&-nicobar-islands,2018,1,OnePlus,332,6740,0
andaman-&-nicobar-islands,2018,1,Realme,316,6740,0
andaman-&-nicobar-islands,2018,1,Apple,229,6740,0
andaman-&-nicobar-islands,2018,1,Motorola,226,6740,0
andaman-&-nicobar-islands,2018,1,Lenovo,202,6740,0
andaman-&-nicobar-islands,2018,1,Huawei,158,6740,0
andaman-&-nicobar-islands,2018,1,Others,684,6740,0
andaman-&-nicobar-islands,2018,2,Xiaomi,2303,9405,0
andaman-&-nicobar-islands,2018,2,Samsung,1923,9405,0
andaman-&-nicobar-islands,2018,2,Vivo,1523,9405,0
andaman-&-nicobar-islands,2018,2,Oppo,708,9405,0
andaman-&-nicobar-islands,2018,2,OnePlus,466,9405,0
andaman-&-nicobar-islands,2018,2,Realme,465,9405,0
andaman-&-nicobar-islands,2018,2,Motorola,319,9405,0
andaman-&-nicobar-islands,2018,2,Apple,308,9405,0
andaman-&-nicobar-islands,2018,2,Lenovo,244,9405,0
andaman-&-nicobar-islands,2018,2,Huawei,230,9405,0
andaman-&-nicobar-islands,2018,2,Others,916,9405,0
andaman-&-nicobar-islands,2018,3,Xiaomi,2950,12149,0
andaman-&-nicobar-islands,2018,3,Samsung,2409,12149,0
andaman-&-nicobar-islands,2018,3,Vivo,2063,12149,0
andaman-&-nicobar-islands,2018,3,Oppo,988,12149,0
andaman-&-nicobar-islands,2018,3,OnePlus,617,12149,0
andaman-&-nicobar-islands,2018,3,Realme,603,12149,0
andaman-&-nicobar-islands,2018,3,Motorola,390,12149,0
andaman-&-nicobar-islands,2018,3,Apple,371,12149,0
andaman-&-nicobar-islands,2018,3,Huawei,314,12149,0
andaman-&-nicobar-islands,2018,3,Lenovo,299,12149,0
andaman-&-nicobar-islands,2018,3,Others,1145,12149,0
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,15222,0
andaman-&-nicobar-islands,2018,4,Samsung,2936,15222,0
andaman-&-nicobar-islands,2018,4,Vivo,2742,15222,0
andaman-&-nicobar-islands,2018,4,Oppo,1268,15222,0
andaman-&-nicobar-islands,2018,4,Realme,760,15222,0
andaman-&-nicobar-islands,2018,4,OnePlus,721,15222,0
andaman-&-nicobar-islands,2018,4,Motorola,474,15222,0
andaman-&-nicobar-islands,2018,4,Apple,455,15222,0
andaman-&-nicobar-islands,2018,4,Huawei,398,15222,0
andaman-&-nicobar-islands,2018,4,Lenovo,377,15222,0
andaman-&-nicobar-islands,2018,4,Others,1372,15222,0
andaman-&-nicobar-islands,2019,1,Xiaomi,4576,18596,0
andaman-&-nicobar-islands,2019,1,Samsung,3567,18596,0
andaman-&-nicobar-islands,2019,1,Vivo,3420,18596,0
andaman-&-nicobar-islands,2019,1,Oppo,1600,18596,0
andaman-&-nicobar-islands,2019,1,Realme,897,18596,0
andaman-&-nicobar-islands,2019,1,OnePlus,855,18596,0
andaman-&-nicobar-islands,2019,1,Motorola,561,18596,0
andaman-&-nicobar-islands,2019,1,Apple,515,18596,0
andaman-&-nicobar-islands,2019,1,Huawei,515,18596,0
